timestamp (UTC+1),PM2.5 nom,PM10 nom,humidity_percent,pm10_ugm3,PM10 Avg,pm25_ugm3,PM2.5 Avg,temperature_degC
2018-03-21 18:02:48,40,25,41.7,14.935,14.151333,8.203335,7.4430002,14.6
2018-03-21 18:03:48,40,25,41.8,13.87167,13.997333,7.788332,7.3313332,14.5
2018-03-21 18:04:48,40,25,41.7,13.76667,14.006333,7.346665,7.2579999,14.5
2018-03-21 18:05:48,40,25,41.9,13.985,13.790499,7.481668,7.1393335,14.5
2018-03-21 18:06:48,40,25,41.8,14.74833,13.643333,7.908335,7.0109999,14.4
2018-03-21 18:07:48,40,25,41.9,14.24,13.735167,7.531667,6.9644998,14.4
2018-03-21 18:08:48,40,25,42,14.95667,13.836167,7.443335,6.9526662,14.4
2018-03-21 18:09:48,40,25,42.1,13.57833,13.631333,6.886666,6.8491662,14.4
2018-03-21 18:10:48,40,25,42.1,13.40333,13.355667,6.931665,6.7289996,14.4
2018-03-21 18:11:48,40,25,42,14.02833,13.260668,6.908334,6.7173332,14.3
2018-03-21 18:12:48,40,25,42.1,13.395,13.012002,7.086665,6.6773331,14.3
2018-03-21 18:13:48,40,25,42.1,13.96167,12.819502,7.054999,6.5815001,14.3
2018-03-21 18:14:48,40,25,42.1,11.60833,12.607335,6.160001,6.49,14.3
2018-03-21 18:15:48,40,25,42.2,12.51334,12.574002,6.198332,6.4596666,14.3
2018-03-21 18:16:48,40,25,42.1,15.66667,12.335335,7.443334,6.4316664,14.2
2018-03-21 18:17:48,40,25,42.3,15.25,11.946835,7.413331,6.3046663,14.2
2018-03-21 18:18:48,40,25,42.4,12.90833,11.638002,6.408335,6.1736665,14.2
2018-03-21 18:19:48,40,25,42.3,10.82167,11.421669,5.685,6.0871663,14.2
2018-03-21 18:20:48,40,25,42.4,12.45334,11.559502,6.815001,6.1821664,14.2
2018-03-21 18:21:48,40,25,42.5,11.54167,11.608668,6.508333,6.1839997,14.2
2018-03-21 18:22:48,40,25,42.5,11.47,11.726168,6.128335,6.1659998,14.2
2018-03-21 18:23:48,40,25,42.5,11.84,11.935001,6.139998,6.1728331,14.2
2018-03-21 18:24:48,40,25,42.5,11.275,12.096168,5.856667,6.2296664,14.2
2018-03-21 18:25:48,40,25,42.5,10.12667,12.178501,5.91833,6.2539997,14.2
2018-03-21 18:26:48,40,25,42.5,11.78167,12.285834,6.173333,6.2451666,14.2
2018-03-21 18:27:48,40,25,42.5,12.16167,12.366501,6.103333,6.2471667,14.2
2018-03-21 18:28:48,40,25,42.4,10.745,12.395667,5.543333,6.2391668,14.1
2018-03-21 18:29:48,40,25,42.5,12.2,12.571834,6.635001,6.3155001,14.1
2018-03-21 18:30:48,40,25,42.6,12.945,12.710001,6.833334,6.2835,14.1
2018-03-21 18:31:48,40,25,42.6,12.71667,12.677668,6.328334,6.2553331,14.1
2018-03-21 18:32:48,40,25,42.6,13.55833,12.999667,6.196668,6.3456663,14.1
2018-03-21 18:33:48,40,25,42.7,13.45167,13.169834,6.708331,6.4386663,14.2
2018-03-21 18:34:48,40,25,42.6,12.09833,13.352334,6.1,6.4918336,14.1
2018-03-21 18:35:48,40,25,42.6,11.2,13.686501,5.829999,6.5951672,14.1
2018-03-21 18:36:48,40,25,41.2,12.58834,13.977501,6.193334,6.7083342,14.2
2018-03-21 18:37:48,40,25,42.6,12.45333,14.272833,6.023334,6.7836674,14.2
2018-03-21 18:38:48,40,25,42.6,12.50667,14.507167,6.306666,6.8615005,14.2
2018-03-21 18:39:48,40,25,42.6,13.58167,14.650666,6.315,6.9345004,14.2
